label,text,image
3,man exposed nurofen scandal question abc deal dodgy swisse auspol,/data_bt4sa/76809/768097967425200128-1.jpg
3,depriving prisoner access  medical service clear case crime humanity freegolipour medical ht,/data_bt4sa/76809/768098172967198721-1.jpg
2,next time someone tell israel committing genocide show,/data_bt4sa/76809/768098336540798977-1.jpg
3,unemployed oops never mind,/data_bt4sa/76809/768098680452767745-1.jpg
3,proof people world complete moron need follow account,/data_bt4sa/76809/768098940495470592-4.jpg
3,none allegation r proved still unjustified jail since past  year justicebapuji,/data_bt4sa/76809/768099318008086529-1.jpg
2, watermelon one worst fruit,/data_bt4sa/76809/768099502557245440-1.jpg
2,matter much fame climb always guy fucking hate kanye,/data_bt4sa/76809/768099540310200320-1.jpg
1,watch voiceover recording ice cream ad go horrendously comically wrong,/data_bt4sa/76809/768099980712304646-1.jpg
1,furry bl game cry phone,/data_bt4sa/76810/768100488185204736-1.jpg
1,furry bl game cry phone,/data_bt4sa/76810/768100488185204736-2.jpg
1,furry bl game cry phone,/data_bt4sa/76810/768100488185204736-3.jpg
3,ffs asked bro put plastic bin came back,/data_bt4sa/76810/768101654214299648-3.jpg
3,fake isi attack prague intended protest caused panic,/data_bt4sa/76810/768101796824965120-1.jpg
1,cincinnati zoo deleted twitter tonight amid flood harambe meme spam,/data_bt4sa/76810/768101805200814080-1.jpg
3,secular leftist accidentsp suv boy diesp car man dieswhere outrage,/data_bt4sa/76810/768101842978938880-1.jpg
3,look like vicious offender watch lady,/data_bt4sa/76810/768102174303879168-1.jpg
3,true relationship two imperfect people refusing give aldubpwedenamag,/data_bt4sa/76810/768102384031629312-1.jpg
3,friend say something stupid check brain,/data_bt4sa/76810/768102522422632448-1.jpg
3,federal minimum wage  hr amp gop refuse  raise u live decently k,/data_bt4sa/76810/768103705220481025-1.jpg
3,second hand book losing market,/data_bt4sa/76810/768104145647611905-1.jpg
3,say cunt yup right,/data_bt4sa/76810/768104242091528192-1.jpg
3,bombshell hillary health bad aide reached nfl regarding cracked head,/data_bt4sa/76810/768104305005998080-1.jpg
3,ripped black life matter absent historic flooding louisiana,/data_bt4sa/76810/768104648947273728-1.jpg
1,former homeless l spa man mitch shot begging outside tesco  dy short illness rip,/data_bt4sa/76810/768104674100670464-1.jpg
3,already bad mood someone decides test make worse,/data_bt4sa/76810/768104674113167360-1.jpg
3,bae asks forgiveness mistake,/data_bt4sa/76810/768104820905480192-1.jpg
3,quite literally give shit care le tried,/data_bt4sa/76810/768105131296509952-1.jpg
3,bother derryn hinch cut mid sentence,/data_bt4sa/76810/768105169053593602-1.jpg
1,literally cry bc glo,/data_bt4sa/76810/768105433298984962-2.jpg
2,cnn msm nbc cbs abc people dead misinformation u jail,/data_bt4sa/76810/768105437493243904-1.jpg
